event_date,direction,included_in_primary,matched_articles_24h,coverage_issues,reason
2025-10-06,down,1,38,"[{""date_utc"":""2025-09-26"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-27"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-28"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-29"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-30"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]}]",verified_24h_collection
2025-10-08,up,1,44,"[{""date_utc"":""2025-09-30"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]}]",verified_24h_collection
2025-10-09,up,1,67,[],verified_24h_collection
2025-10-10,down,1,59,[],verified_24h_collection
2025-10-13,up,1,20,[],verified_24h_collection
2025-10-14,down,1,42,[],verified_24h_collection
2025-10-16,up,1,42,[],verified_24h_collection
2025-10-23,up,1,22,[],verified_24h_collection
2025-10-24,up,1,18,[],verified_24h_collection
2025-10-27,up,1,10,[],verified_24h_collection
2025-10-28,up,1,40,[],verified_24h_collection
2025-10-29,up,1,57,[],verified_24h_collection
2025-10-30,down,1,104,[],verified_24h_collection
2025-11-03,up,1,50,[],verified_24h_collection
2025-11-04,down,1,62,[],verified_24h_collection
2025-11-05,down,1,33,[],verified_24h_collection
2025-11-06,down,1,9,[],verified_24h_collection
2025-11-10,up,1,45,[],verified_24h_collection
2025-11-11,down,1,44,[],verified_24h_collection
2025-11-13,down,1,50,[],verified_24h_collection
2025-11-14,up,1,49,[],verified_24h_collection
2025-11-17,down,1,60,[],verified_24h_collection
2025-11-18,down,1,60,[],verified_24h_collection
2025-11-19,up,1,65,[],verified_24h_collection
2025-11-20,down,1,114,[],verified_24h_collection
2025-11-24,up,1,66,[],verified_24h_collection
2025-11-25,down,1,44,[],verified_24h_collection
2025-11-26,up,1,79,[],verified_24h_collection
2025-11-28,down,1,76,[],verified_24h_collection
2025-12-01,up,1,30,[],verified_24h_collection
2025-12-03,down,1,56,[],verified_24h_collection
2025-12-04,up,1,37,[],verified_24h_collection
2025-12-08,up,1,33,[],verified_24h_collection
2025-12-11,down,1,27,[],verified_24h_collection
2025-12-12,down,1,49,[],verified_24h_collection
2025-12-17,down,1,27,[],verified_24h_collection
2025-12-18,up,1,36,[],verified_24h_collection
2025-12-19,up,1,53,[],verified_24h_collection
2025-12-22,up,1,31,[],verified_24h_collection
2025-12-23,up,1,33,[],verified_24h_collection
2025-12-26,up,1,30,[],verified_24h_collection
2025-12-29,down,1,39,[],verified_24h_collection
2026-01-02,up,1,33,[],verified_24h_collection
2026-01-08,down,1,62,[],verified_24h_collection
2026-01-14,down,1,55,[],verified_24h_collection
2026-01-15,up,1,77,[],verified_24h_collection
2026-01-20,down,1,59,[],verified_24h_collection
2026-01-21,up,1,69,[],verified_24h_collection
2026-01-23,up,1,56,[],verified_24h_collection
2026-01-27,up,1,82,[],verified_24h_collection
2026-01-28,up,1,51,[],verified_24h_collection
2026-02-02,down,1,44,[],verified_24h_collection
2026-02-03,down,1,79,[],verified_24h_collection
2026-02-04,down,1,74,[],verified_24h_collection
2026-02-05,down,1,76,[],verified_24h_collection
2026-02-06,up,1,56,[],verified_24h_collection
2026-02-09,up,1,77,[],verified_24h_collection
2026-02-12,down,1,44,[],verified_24h_collection
2026-02-13,down,1,45,[],verified_24h_collection
2026-02-17,up,1,34,[],verified_24h_collection
2026-02-18,up,1,55,[],verified_24h_collection
2026-02-20,up,1,72,[],verified_24h_collection
2026-02-25,up,1,98,[],verified_24h_collection
2026-02-26,down,1,131,[],verified_24h_collection
2026-02-27,down,0,200,"[{""date_utc"":""2026-02-26"",""state"":""success_truncation_suspected"",""tickers"":[""NVDA""]}]",incomplete_or_uncertain_24h_collection
2026-03-02,up,0,118,"[{""date_utc"":""2026-02-26"",""state"":""success_truncation_suspected"",""tickers"":[""NVDA""]}]",incomplete_or_uncertain_24h_collection
2026-03-03,down,1,68,"[{""date_utc"":""2026-02-26"",""state"":""success_truncation_suspected"",""tickers"":[""NVDA""]}]",verified_24h_collection
2026-03-04,up,1,66,"[{""date_utc"":""2026-02-26"",""state"":""success_truncation_suspected"",""tickers"":[""NVDA""]}]",verified_24h_collection
2026-03-06,down,1,78,"[{""date_utc"":""2026-02-26"",""state"":""success_truncation_suspected"",""tickers"":[""NVDA""]}]",verified_24h_collection
2026-03-09,up,1,61,[],verified_24h_collection
2026-03-10,up,1,65,[],verified_24h_collection
2026-03-12,down,1,80,[],verified_24h_collection
2026-03-13,down,1,60,[],verified_24h_collection
2026-03-16,up,1,61,[],verified_24h_collection
