term,type,up_support_days,down_support_days,total_support_days,up_total_days,down_total_days,up_prevalence_pct,down_prevalence_pct,up_minus_down_pp
deals,word,22,30,52,51,41,43.13725490196079,73.17073170731707,-30.033476805356287
hit,word,27,34,61,51,41,52.94117647058823,82.92682926829268,-29.985652797704443
securities,word,6,17,23,51,41,11.764705882352942,41.46341463414634,-29.6987087517934
nvidia could,phrase,3,14,17,51,41,5.882352941176471,34.146341463414636,-28.263988522238165
jim cramer,phrase,21,28,49,51,41,41.1764705882353,68.29268292682927,-27.116212338593982
operational,word,4,14,18,51,41,7.8431372549019605,34.146341463414636,-26.303204208512675
jim,word,24,30,54,51,41,47.05882352941177,73.17073170731707,-26.111908177905306
the future,phrase,12,20,32,51,41,23.529411764705884,48.78048780487805,-25.251076040172165
cramer,word,22,28,50,51,41,43.13725490196079,68.29268292682927,-25.15542802486849
stocks like,phrase,6,15,21,51,41,11.764705882352942,36.58536585365854,-24.820659971305595
needs,word,11,19,30,51,41,21.568627450980394,46.34146341463415,-24.772835963653755
slowing,word,5,14,19,51,41,9.803921568627452,34.146341463414636,-24.342419894787188
buy nvidia,phrase,10,18,28,51,41,19.607843137254903,43.90243902439025,-24.294595887135344
enterprise,word,20,26,46,51,41,39.21568627450981,63.41463414634146,-24.19894787183166
to invest,phrase,20,26,46,51,41,39.21568627450981,63.41463414634146,-24.19894787183166
leader in,phrase,9,17,26,51,41,17.647058823529413,41.46341463414634,-23.816355810616926
firms,word,19,25,44,51,41,37.254901960784316,60.97560975609756,-23.720707795313245
despite,word,29,33,62,51,41,56.86274509803921,80.48780487804878,-23.625059780009572
listed,word,3,12,15,51,41,5.882352941176471,29.26829268292683,-23.385939741750356
updated,word,13,20,33,51,41,25.49019607843137,48.78048780487805,-23.290291726446675
