term,type,up_support_days,down_support_days,total_support_days,up_total_days,down_total_days,up_prevalence_pct,down_prevalence_pct,up_minus_down_pp
bullish,word,37,15,52,51,41,72.54901960784314,36.58536585365854,35.9636537541846
scale ai,phrase,24,7,31,51,41,47.05882352941177,17.073170731707318,29.985652797704443
known,word,25,9,34,51,41,49.01960784313726,21.951219512195124,27.068388330942128
expands ai,phrase,13,1,14,51,41,25.49019607843137,2.4390243902439024,23.05117168818747
large scale,phrase,24,10,34,51,41,47.05882352941177,24.390243902439025,22.66857962697274
is nvidia,phrase,31,16,47,51,41,60.78431372549019,39.02439024390244,21.75992348158775
bad,word,16,4,20,51,41,31.372549019607842,9.75609756097561,21.616451458632234
ultra,word,12,1,13,51,41,23.529411764705884,2.4390243902439024,21.09038737446198
investors should,phrase,18,6,24,51,41,35.294117647058826,14.634146341463415,20.659971305595413
better,word,34,19,53,51,41,66.66666666666667,46.34146341463415,20.325203252032516
said in,phrase,24,11,35,51,41,47.05882352941177,26.829268292682926,20.229555236728835
buy or,phrase,19,7,26,51,41,37.254901960784316,17.073170731707318,20.181731229076995
year and,phrase,19,7,26,51,41,37.254901960784316,17.073170731707318,20.181731229076995
although,word,14,3,17,51,41,27.45098039215686,7.317073170731708,20.133907221425158
mining,word,15,4,19,51,41,29.41176470588235,9.75609756097561,19.655667144906744
and tesla,phrase,26,13,39,51,41,50.98039215686274,31.70731707317073,19.27307508369201
company has,phrase,21,9,30,51,41,41.1764705882353,21.951219512195124,19.22525107604017
year to,phrase,21,9,30,51,41,41.1764705882353,21.951219512195124,19.22525107604017
sell now,phrase,16,5,21,51,41,31.372549019607842,12.195121951219512,19.17742706838833
powered ai,phrase,11,1,12,51,41,21.568627450980394,2.4390243902439024,19.129603060736493
