news_date_new_york,word,word_occurrences,articles_containing_word,publication_utc_dates,next_trading_date,next_day_close_to_close_return,next_day_open_to_close_return,next_day_price_move_1pct,next_day_price_move_5pct,top_event_category
2025-09-30,ai,5,1,2025-10-01,2025-10-01,0.0035373253819614,0.0107968038258008,0,0,competing_accelerators_custom_chips
2025-09-30,company,3,1,2025-10-01,2025-10-01,0.0035373253819614,0.0107968038258008,0,0,competing_accelerators_custom_chips
2025-09-30,market,1,1,2025-10-01,2025-10-01,0.0035373253819614,0.0107968038258008,0,0,other_nvidia_development
2025-09-30,nasdaq,1,1,2025-10-01,2025-10-01,0.0035373253819614,0.0107968038258008,0,0,competing_accelerators_custom_chips
2025-09-30,nvidia,1,1,2025-10-01,2025-10-01,0.0035373253819614,0.0107968038258008,0,0,other_nvidia_development
2025-09-30,stocks,3,2,2025-10-01,2025-10-01,0.0035373253819614,0.0107968038258008,0,0,other_nvidia_development
2025-10-01,ai,51,28,2025-10-01|2025-10-02,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,billion,10,8,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,partnership_contract
2025-10-01,chip,4,4,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,chips,5,4,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,company,12,11,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,partnership_contract
2025-10-01,data,3,3,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,market,19,12,2025-10-01|2025-10-02,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,nasdaq,11,8,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,partnership_contract
2025-10-01,nvda,13,8,2025-10-01,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,nvidia,53,36,2025-10-01|2025-10-02,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,stock,27,19,2025-10-01|2025-10-02,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-01,stocks,13,10,2025-10-01|2025-10-02,2025-10-02,0.0088122237296464,-0.0037447610285387,0,0,other_nvidia_development
2025-10-02,ai,32,18,2025-10-02|2025-10-03,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,billion,5,5,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,ai_infrastructure_spending
2025-10-02,chip,9,5,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,chips,5,4,2025-10-02|2025-10-03,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,partnership_contract
2025-10-02,company,1,1,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,partnership_contract
2025-10-02,data,2,2,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,ai_infrastructure_spending
2025-10-02,market,14,6,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,nasdaq,5,2,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,nvda,7,7,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,nvidia,39,25,2025-10-02|2025-10-03,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,stock,14,9,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-02,stocks,11,9,2025-10-02,2025-10-03,-0.0067235067178385,-0.0082985744698903,0,0,other_nvidia_development
2025-10-03,ai,36,18,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,partnership_contract
2025-10-03,billion,6,5,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,chip,12,9,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,partnership_contract
2025-10-03,chips,6,5,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,company,12,10,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,data,2,2,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,ai_infrastructure_spending
2025-10-03,market,11,7,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,nasdaq,6,5,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,nvda,6,6,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,nvidia,41,29,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,stock,18,11,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-03,stocks,3,3,2025-10-03,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-04,ai,3,2,2025-10-04,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-04,nvidia,3,2,2025-10-04,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-04,stock,1,1,2025-10-04,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-04,stocks,2,1,2025-10-04,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-05,ai,8,5,2025-10-05|2025-10-06,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-05,billion,1,1,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,partnership_contract
2025-10-05,chip,1,1,2025-10-06,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,partnership_contract
2025-10-05,chips,1,1,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,ai_infrastructure_spending
2025-10-05,company,2,2,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,partnership_contract
2025-10-05,data,1,1,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,ai_infrastructure_spending
2025-10-05,nasdaq,1,1,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-05,nvda,2,1,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-05,nvidia,15,11,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-05,stock,8,6,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-05,stocks,3,2,2025-10-05,2025-10-06,-0.0110863136242227,0.0002155972298265,-1,0,other_nvidia_development
2025-10-06,ai,38,24,2025-10-06|2025-10-07,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-06,billion,5,5,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,partnership_contract
2025-10-06,chip,16,10,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,partnership_contract
2025-10-06,chips,4,4,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,ai_infrastructure_spending
2025-10-06,company,5,5,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-06,data,4,4,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,ai_infrastructure_spending
2025-10-06,market,13,9,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-06,nasdaq,3,2,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,competing_accelerators_custom_chips
2025-10-06,nvda,10,9,2025-10-06|2025-10-07,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-06,nvidia,38,28,2025-10-06|2025-10-07,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-06,stock,24,18,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-06,stocks,10,7,2025-10-06,2025-10-07,-0.0026947807367321,-0.0063899611700964,0,0,other_nvidia_development
2025-10-07,ai,46,26,2025-10-07|2025-10-08,2025-10-08,0.021995326917785,0.0136141565440304,1,0,other_nvidia_development
2025-10-07,billion,11,4,2025-10-07|2025-10-08,2025-10-08,0.021995326917785,0.0136141565440304,1,0,ai_infrastructure_spending
2025-10-07,chip,23,20,2025-10-07|2025-10-08,2025-10-08,0.021995326917785,0.0136141565440304,1,0,other_nvidia_development
2025-10-07,chips,7,5,2025-10-07|2025-10-08,2025-10-08,0.021995326917785,0.0136141565440304,1,0,other_nvidia_development
2025-10-07,company,13,10,2025-10-07|2025-10-08,2025-10-08,0.021995326917785,0.0136141565440304,1,0,other_nvidia_development
2025-10-07,data,6,6,2025-10-07,2025-10-08,0.021995326917785,0.0136141565440304,1,0,ai_infrastructure_spending
2025-10-07,market,18,7,2025-10-07,2025-10-08,0.021995326917785,0.0136141565440304,1,0,partnership_contract
2025-10-07,nasdaq,3,3,2025-10-07,2025-10-08,0.021995326917785,0.0136141565440304,1,0,other_nvidia_development
