group,rank,word,occurrences,articles_containing_word,percent_of_group_articles,occurrences_per_1000_tokens
1pct_up,1,nvidia,12996,7640,85.54473183294144,42.54497241909875
1pct_up,2,ai,10177,5262,58.918374202216995,33.31641922969899
1pct_up,3,stock,4146,2960,33.14298510805061,13.572749742196324
1pct_up,4,market,2292,1585,17.74717276900683,7.503314618696086
1pct_up,5,nvda,2100,1639,18.351808308140185,6.874764702993796
1pct_up,6,stocks,2025,1483,16.605083417310492,6.629237392172589
1pct_up,7,chip,1939,1494,16.728249916022843,6.347699409097605
1pct_up,8,nasdaq,1799,1253,14.029783898779533,5.889381762231352
1pct_up,9,billion,1713,1058,11.846377785242414,5.607843779156368
1pct_up,10,chips,1692,1214,13.593102676072109,5.5390961321264305
3pct_up,1,nvidia,3034,1782,82.42368177613321,39.773472116619914
3pct_up,2,ai,2655,1362,62.99722479185939,34.80506541517003
3pct_up,3,stock,1023,736,34.04255319148936,13.410765318161559
3pct_up,4,chip,543,400,18.501387604070306,7.118324113159067
3pct_up,5,chips,514,353,16.327474560592044,6.738155790356834
3pct_up,6,nvda,485,375,17.34505087881591,6.3579874675546
3pct_up,7,market,448,333,15.402405180388529,5.872945124668991
3pct_up,8,billion,443,273,12.627197039777982,5.807398862116882
3pct_up,9,nasdaq,420,281,12.99722479185939,5.5058860543771795
3pct_up,10,company,411,341,15.772432932469934,5.3879027817833824
1pct_down,1,nvidia,11476,6755,85.67985794013191,42.417298096470155
1pct_down,2,ai,9036,4671,59.24657534246575,33.39863241545001
1pct_down,3,stock,3564,2550,32.343987823439875,13.173165773424506
1pct_down,4,market,2067,1412,17.909690512430238,7.639992607651081
1pct_down,5,nvda,1776,1422,18.036529680365298,6.564405839955646
1pct_down,6,chip,1764,1348,17.097919837645865,6.520051746442432
1pct_down,7,stocks,1723,1263,16.01978691019787,6.368508593605618
1pct_down,8,chips,1546,1094,13.876204972095383,5.714285714285714
1pct_down,9,nasdaq,1519,1083,13.736681887366819,5.614489003880983
1pct_down,10,billion,1516,912,11.567732115677321,5.60340048050268
3pct_down,1,nvidia,7267,4265,87.02305651907774,42.877456736073825
3pct_down,2,ai,5474,2797,57.069985717200574,32.29822460069742
3pct_down,3,stock,2163,1543,31.48337074066517,12.762341945799873
3pct_down,4,market,1259,859,17.527035298918587,7.428473652224707
3pct_down,5,nvda,1125,892,18.20036727198531,6.637833883044317
3pct_down,6,chip,1080,832,16.97612732095491,6.372320527722544
3pct_down,7,stocks,1052,773,15.772291369108345,6.207112217744553
3pct_down,8,earnings,1050,735,14.996939400122423,6.195311624174696
3pct_down,9,nasdaq,1009,717,14.629667414813303,5.953399455992637
3pct_down,10,billion,975,571,11.650683533972659,5.752789365305075
