group,rank,word,occurrences,articles_containing_word,percent_of_group_articles,occurrences_per_1000_tokens
1pct_up,1,the,17477,6467,72.41070428843355,36.57064179101354
1pct_up,2,nvidia,12996,7640,85.54473183294144,27.19414434491114
1pct_up,3,and,11525,5725,64.1025641025641,24.11607522122968
1pct_up,4,to,10642,5324,59.61258537677752,22.268396746579285
1pct_up,5,ai,10177,5262,58.918374202216995,21.29538373331492
1pct_up,6,a,7924,4555,51.00212742134139,16.58097874646629
1pct_up,7,in,7786,4593,51.42761168962042,16.29221359414267
1pct_up,8,of,7458,4182,46.82566341954988,15.60587323209813
1pct_up,9,on,5304,3583,40.11868771694099,11.098625854525139
1pct_up,10,is,5102,3499,39.17814354495577,10.675940631558683
3pct_up,1,the,4330,1566,72.43293246993524,36.10830824653719
3pct_up,2,nvidia,3034,1782,82.42368177613321,25.300833076211045
3pct_up,3,and,2829,1399,64.7086031452359,23.59131732781841
3pct_up,4,to,2807,1333,61.65587419056429,23.407857101161635
3pct_up,5,ai,2655,1362,62.99722479185939,22.140313716987585
3pct_up,6,a,2039,1143,52.867715078630894,17.003427370597997
3pct_up,7,in,2010,1175,54.34782608695652,16.761593435459528
3pct_up,8,of,1817,998,46.160962072155414,15.152146901606946
3pct_up,9,is,1377,903,41.766882516188716,11.482942368471527
3pct_up,10,on,1287,869,40.19426456984274,10.7324232594211
1pct_down,1,the,15440,5701,72.31100963977676,36.491778714232034
1pct_down,2,nvidia,11476,6755,85.67985794013191,27.12303448993049
1pct_down,3,and,10206,5067,64.26940639269407,24.12144388325467
1pct_down,4,to,9679,4747,60.210553018772195,22.875901954342734
1pct_down,5,ai,9036,4671,59.24657534246575,21.356198993639936
1pct_down,6,a,6914,3976,50.4312531709792,16.340942877603645
1pct_down,7,in,6787,3998,50.71029934043633,16.040783816936063
1pct_down,8,of,6546,3690,46.80365296803653,15.471190638818838
1pct_down,9,on,4704,3158,40.055809233891424,11.117702530553592
1pct_down,10,s,4490,2635,33.42212075088788,10.611922696042864
3pct_down,1,the,9750,3572,72.8830850846766,36.76179488049589
3pct_down,2,nvidia,7267,4265,87.02305651907774,27.39979111759627
3pct_down,3,and,6358,3160,64.47663742093451,23.972460702583884
3pct_down,4,to,6103,2993,61.06916955723322,23.010998374940144
3pct_down,5,ai,5474,2797,57.069985717200574,20.639391300085588
3pct_down,6,a,4343,2496,50.92838196286472,16.375023093948066
3pct_down,7,in,4188,2467,50.33666598653336,15.790604816360695
3pct_down,8,of,4178,2356,48.071822077127116,15.752900411355059
3pct_down,9,on,2936,1956,39.910222403591106,11.070013309654968
3pct_down,10,s,2882,1675,34.17669863293205,10.866409522624528
