direction,event_category,events_with_category,mean_article_share,total_article_matches
down,ai_infrastructure_spending,44,0.15784261451427278,1709
down,competing_accelerators_custom_chips,44,0.041715460875723656,435
down,export_controls_market_access,28,0.014054956910157056,90
down,manufacturing_packaging_hbm,44,0.03488958888233111,398
down,other_nvidia_development,44,0.5146296848313262,5400
down,partnership_contract,44,0.15732493750840984,1673
down,product_announcement,44,0.06326973845945728,690
down,product_delay_supply_constraint,41,0.011691017496618673,112
down,regulatory_action,38,0.01214632594756094,115
up,ai_infrastructure_spending,56,0.16125915786343323,1732
up,competing_accelerators_custom_chips,55,0.053539849940472194,568
up,export_controls_market_access,28,0.011261860046833392,73
up,manufacturing_packaging_hbm,54,0.04046738686238861,461
up,other_nvidia_development,55,0.5174353915965657,5701
up,partnership_contract,56,0.15919446130692155,1722
up,product_announcement,54,0.05555719960318859,622
up,product_delay_supply_constraint,44,0.015198359368615964,136
up,regulatory_action,35,0.013759185121469833,100
