direction,dominant_topic,events_with_topic,mean_article_share,total_article_matches
down,0,44,0.2507007429329913,2790
down,1,44,0.24100982964321097,2526
down,2,44,0.07624128058604872,849
down,3,44,0.08977447423046335,925
down,4,44,0.11861086621608136,1193
down,5,44,0.06101930034642515,685
down,6,44,0.05090678562536806,501
down,7,44,0.11173672041941113,1153
up,0,56,0.25834011529798934,2796
up,1,55,0.24862449311907364,2705
up,2,55,0.06359327204224713,765
up,3,55,0.09306015412848993,1024
up,4,55,0.10475980558369578,1140
up,5,55,0.07239312315380168,823
up,6,54,0.053332714336969095,583
up,7,55,0.12035073322935116,1279
