topic,rank,word,weight
0,1,ai,1.7991913783249012
0,2,infrastructure,1.1937547036025458
0,3,data,1.1850987237112298
0,4,billion,0.9706104822334237
0,5,ai infrastructure,0.8814329515401026
0,6,center,0.8348433163453698
0,7,nvidia,0.8340568444368134
0,8,data center,0.8074754696647686
0,9,cloud,0.7884609173149396
0,10,new,0.6728413179274889
0,11,company,0.6285149256566074
0,12,microsoft,0.6198898290269503
0,13,announced,0.5804327372067213
0,14,amazon,0.5673212607264887
0,15,google,0.5310338242797125
1,1,stock,1.9694188379950004
1,2,nvidia stock,1.6026900134033089
1,3,nvidia,1.3127747867984365
1,4,buy,0.6764349973646305
1,5,investors,0.5321454068928461
1,6,street,0.4762373954461557
1,7,ai,0.47294784281902624
1,8,wall,0.4690222173234554
1,9,wall street,0.46326581277147755
1,10,shares,0.4256971234685868
1,11,just,0.4132237844088752
1,12,earnings,0.3834948504580902
1,13,growth,0.3779729820928588
1,14,artificial intelligence,0.37071630849309073
1,15,artificial,0.3702076677930473
2,1,huang,1.5180126647196772
2,2,jensen,1.3295937700748086
2,3,jensen huang,1.3204195244100552
2,4,ceo,1.2631253422136848
2,5,ceo jensen,1.023913005219119
2,6,nvidia ceo,0.9836940087074326
2,7,says,0.5239119673374744
2,8,huang says,0.4465025262169192
2,9,nvidia,0.3943842304966785
2,10,huang said,0.26252729580993134
2,11,said,0.2428137337525119
2,12,openai,0.22483754472938464
2,13,just,0.22430860307800513
2,14,nvda ceo,0.19905232785842622
2,15,company,0.1953651690305642
3,1,nvda,1.075411612357037
3,2,corporation,1.0528533663161992
3,3,nvidia corporation,1.0453526878215642
3,4,cramer,1.018487828085675
3,5,nasdaq,0.9060240286045439
3,6,nasdaq nvda,0.8867230684845672
3,7,jim cramer,0.8813159463276969
3,8,jim,0.8780418226681486
3,9,corporation nasdaq,0.8720051205670638
3,10,stocks,0.6936017116867849
3,11,stocks jim,0.42296985355031724
3,12,nvidia,0.38134402892284486
3,13,nvda stocks,0.3535746081541647
3,14,nvidia nvda,0.35327467911349136
3,15,recently,0.3324972219562329
4,1,china,1.5209088856084683
4,2,h200,1.0020004222786187
4,3,chips,0.9480077310350307
4,4,chip,0.8022687970798159
4,5,trump,0.6487729401012309
4,6,sales,0.5065625488828212
4,7,nvidia,0.48466909868364116
4,8,ai chips,0.4785486485108229
4,9,ai chip,0.4742460539529912
4,10,chinese,0.4338288765626302
4,11,chips china,0.43091157558769255
4,12,nvidia h200,0.4072069488309669
4,13,h200 chips,0.354261730025608
4,14,export,0.3267039432855881
4,15,ai,0.3207020125390625
5,1,micron,1.7185959806950264
5,2,memory,1.217600502118379
5,3,micron technology,0.7150015987619542
5,4,hbm,0.6966058570106901
5,5,demand,0.6763791378814016
5,6,mu,0.5773320293825084
5,7,technology,0.5592142933577446
5,8,bandwidth,0.505035828879722
5,9,high bandwidth,0.5042697868265302
5,10,bandwidth memory,0.49324440521625107
5,11,samsung,0.45852118204426257
5,12,supply,0.4478983882512084
5,13,high,0.4448865871109258
5,14,hbm4,0.40342314214429054
5,15,ai memory,0.37633434029751295
6,1,dow,1.3552839039886906
6,2,stock market,1.2455412067035587
6,3,market,1.0629816943865809
6,4,market today,1.061192610446877
6,5,jones,0.9462206162012632
6,6,dow jones,0.9460683510105385
6,7,today,0.9090461535698839
6,8,today dow,0.8854807866620518
6,9,live coverage,0.6735216756857731
6,10,live,0.6720469274821711
6,11,coverage,0.661971280903206
6,12,futures,0.5984443143419481
6,13,stock,0.5887784335175128
6,14,jones index,0.5156872343943343
6,15,index,0.5123604305307488
7,1,amd,1.6935240324501168
7,2,micro,0.6842074368739879
7,3,advanced micro,0.6524737291237329
7,4,micro devices,0.6524737291237329
7,5,devices,0.6433330900318617
7,6,openai,0.6392303086846484
7,7,meta,0.6028250736569519
7,8,advanced,0.5515537066040266
7,9,deal,0.5343726141066824
7,10,chip,0.44205896240056847
7,11,broadcom,0.37841198960986333
7,12,nvidia amd,0.37459913400525674
7,13,market,0.34292369010732315
7,14,ai,0.32042160455851787
7,15,ai chip,0.3108368401198687
