event_date,ticker,price_move_1pct,price_move_5pct,shift_1pct_up,shift_1pct_down,shift_5pct_up,shift_5pct_down,shift_categories,previous_session_date,cutoff_utc,cutoff_new_york,interval_end_utc,timing_assumption,provisional_cutoff,article_id,queried_tickers,companies_discussed,headline,summary,source,url,published_at_utc,retrieved_at_utc,relevance_type,event_category,relevance_reason,excluded,exclusion_reason,duplicate_group_id,duplicate_group_size,duplicate_of_article_id,event_representative,exact_duplicate_group_id,raw_observation_count,finnhub_related,finnhub_category,image_url,normalized_url,matched_relevance_terms,article_match_key,publication_timestamp_utc,publication_timestamp_new_york,raw_content_variant_count,possible_revision_or_identity_conflict,known_revision_timestamp_present,missing_article_id,missing_headline,missing_source,missing_url,hours_before_cutoff,lookback_bucket,in_24h,in_72h,in_7d,historical_availability_uncertain,availability_note,known_post_cutoff_revision
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139236,META|NVDA,META|NVDA,"How major US stock indexes fared Wednesday, 2/18/2026","The U.S. stock market ticked higher, led by its most influential stock, Nvidia. The S&P 500 rose 0.6% Wednesday after paring a gain that briefly reached 1%. The Dow Jones Industrial Average added 0.3%, and the Nasdaq composite gained 0.8%.",Yahoo,https://finnhub.io/api/news?id=fef6a5db9df6bbbb365513214ece0f3f3a566febf56eb4bcf68f39520acadc76,2026-02-18T21:28:10Z,2026-09-14T15:32:34Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,true,summary_only_mention_without_material_nvidia_event,event_b0161941aadd68a6,1,,true,exact_0484c4c20d49f842,2,META|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=fef6a5db9df6bbbb365513214ece0f3f3a566febf56eb4bcf68f39520acadc76,Nvidia,259f51f61ae9b2d5dab811dc,2026-02-18T21:28:10+00:00,2026-02-18T16:28:10-05:00,1,0,0,0,0,0,0,167.53055555555557,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139981,NVDA,NVDA,Nvidia Rated Buy by Citi Ahead of Expected 2H26 Outperformance,Bank sees stronger demand visibility extending into 2027.,Yahoo,https://finnhub.io/api/news?id=c8e861d87cfa86adbed0c40d17a15718c02b9fcd5032a530c8dbb979ceb3eaee,2026-02-18T21:57:24Z,2026-09-14T15:32:34Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_b4d63d3be8102bc7,1,,true,exact_0fdca14d6242fd48,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=c8e861d87cfa86adbed0c40d17a15718c02b9fcd5032a530c8dbb979ceb3eaee,Nvidia,4f8eeac476e76d1af6a6b06b,2026-02-18T21:57:24+00:00,2026-02-18T16:57:24-05:00,1,0,0,0,0,0,0,167.04333333333332,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139978,NVDA,NVDA,Nvidia Exit Tests Applied Digital’s AI Factory And ChronoScale Ambitions,"Nvidia has fully exited its equity position in Applied Digital (NasdaqGS:APLD), closing out its stake in the company. Applied Digital has started construction on a new AI Factory campus focused on high performance compute and AI workloads. The company reports long term lease revenues with hyperscalers tied to its data center footprint. Applied Digital’s cloud subsidiary is set to merge with Ekso Bionics to create ChronoScale, with Applied Digital receiving significant board and governance...",Yahoo,https://finnhub.io/api/news?id=9a3e0ff4ba49b4c93f753d3f1309011ad0e0c334584f6870849e4a630e9d8921,2026-02-18T22:13:12Z,2026-09-14T15:32:34Z,direct,ai_infrastructure_spending,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the ai_infrastructure_spending context.,false,,event_662a5c3a7e24460c,1,,true,exact_be1b4fa09f14b924,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=9a3e0ff4ba49b4c93f753d3f1309011ad0e0c334584f6870849e4a630e9d8921,Nvidia|data center|ai factory,360eacb7a831dbd1f85b7731,2026-02-18T22:13:12+00:00,2026-02-18T17:13:12-05:00,1,0,0,0,0,0,0,166.78,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139976,META|NVDA,META|NVDA,Podcast: Stocks Rise on Chips Momentum,"Stocks ended the day ahead, powered by a megadeal between Nvidia and Meta Platforms, and better-than-forecast results from Analog Devices. Plus, Moderna shares jumped after FDA's about-face on reviewing the flu vaccine.",Yahoo,https://finnhub.io/api/news?id=c81da223104077669a9fa6667a1df7090ba2c16165a90f9ce571ac78905a160f,2026-02-18T22:21:58Z,2026-09-14T15:32:34Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,true,generic_recommendation_or_listicle;summary_only_mention_without_material_nvidia_event,event_1a766f6c26a895a7,1,,true,exact_f8f74cf42f50bd3d,2,META|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=c81da223104077669a9fa6667a1df7090ba2c16165a90f9ce571ac78905a160f,Nvidia,c0e3ab59ad6f89238f12e093,2026-02-18T22:21:58+00:00,2026-02-18T17:21:58-05:00,1,0,0,0,0,0,0,166.6338888888889,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139975,NVDA,NVDA,Nvidia Exits Arm Stake,Chipmaker sells final Arm shares amid broader AI portfolio reshuffle,Yahoo,https://finnhub.io/api/news?id=51fde5d256a6c76d7943bab928560d13231faca651d6a7ada5d8f0b5ed8a08d9,2026-02-18T22:22:50Z,2026-09-14T15:32:34Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_30bf9df0a5c9f4dc,1,,true,exact_42bb59e70ca4dd8b,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=51fde5d256a6c76d7943bab928560d13231faca651d6a7ada5d8f0b5ed8a08d9,Nvidia,3cf4f132396a9e6d660f637a,2026-02-18T22:22:50+00:00,2026-02-18T17:22:50-05:00,1,0,0,0,0,0,0,166.61944444444444,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139974,META|NVDA,META|NVDA,"Stock Market Today, Feb. 18: Nvidia Rallies As Meta Deal Boosts AI Confidence","Today, Feb. 18, 2026, Nvidia lead the gainers today, restoring megacap tech leadership and reviving AI optimism.",Yahoo,https://finnhub.io/api/news?id=04f26200c2e41953cdf267192d0cad9547e7129d82819fe3693b7ebd2042fde5,2026-02-18T22:26:23Z,2026-09-14T15:32:34Z,direct,partnership_contract,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the partnership_contract context.,false,,event_972ccd1f474cbacf,1,,true,exact_5d19b8aa1ebc546b,2,META|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=04f26200c2e41953cdf267192d0cad9547e7129d82819fe3693b7ebd2042fde5,Nvidia|deal,4065ad4336bd989b8e353125,2026-02-18T22:26:23+00:00,2026-02-18T17:26:23-05:00,1,0,0,0,0,0,0,166.56027777777777,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139973,AMD|META|NVDA,AMD|META|NVDA,Nvidia and Meta Stocks Rises On AI Chip Deal,Meta Taps Millions of Nvidia Chips for AI Data Centers in Major Expansion,Yahoo,https://finnhub.io/api/news?id=7696c646a4e476b00a40553fb27e4a398277cbeb5f1dd9402fafb8ba6516c5c2,2026-02-18T22:29:41Z,2026-09-14T15:30:03Z,direct,partnership_contract,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the partnership_contract context.,false,,event_4a8d3b1c76b54551,1,,true,exact_10f43ac119bf4971,3,AMD|META|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=7696c646a4e476b00a40553fb27e4a398277cbeb5f1dd9402fafb8ba6516c5c2,Nvidia|deal,e28ec76c0bde73006ccff5ef,2026-02-18T22:29:41+00:00,2026-02-18T17:29:41-05:00,1,0,0,0,0,0,0,166.5052777777778,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139968,META|NVDA,META|NVDA,"Wall Street ends higher, lifted by Nvidia and other AI stocks","STORY: Wall Street ended higher on Wednesday, with the Dow adding about a quarter of a percent, the S&P 500gaining more than half a percent and the Nasdaq climbing over three-quarters of a percent.:: NvidiaNvidia rose more than 1.5% after the world's most valuable company said it had signed a multi-year deal to sell millions of its current and future AI chips to Meta Platforms.Shares of other tech hardware companies also rose, including SanDisk, Western Digital and Seagate Technology Holdings.Software makers also showed signs of recovery, with the S&P 500 software and services sector gaining more than 1% after a steep selloff in recent weeks due to fears of massive AI disruption in the sector.Robert Conzo is CEO and managing director of The Wealth Alliance.""When you look at what happened today, the interesting thing about the technology sector as a whole going up, meaning software and hardware, very different than what you've seen year to date. Year-to-date, you've seen software companies get hammered down 24%, the IGV index (iShares Expanded Tech-Software Sector ETF), versus hardware index, let's say XLK ETF (State Street Technology Select Sector SPDR ETF), down only 3%. There you're seeing both go radically. That could be, hey, people just want to get in on the action. There's some speak about many different things. And there's a little bit of press going on about the big capex spending that has been happening in the industry in general. So, interesting day from that perspective.""::DoordashAmong other movers, shares of DoorDash, up nearly 7% at the close, whiplashed in extended trading to ultimately gain more than 10%. The food delivery service forecast first-quarter adjusted profit below Wall Street estimates, but said it expects the total value of orders placed through its platform to be roughly $31 billion, beating Wall Street estimates.On the flip side, shares of Carvana, up 3% at the close, plummeted as much as 24% in extended trading despite reporting higher fourth-quarter profit and revenue on strong demand for preowned vehicles. Shares more than doubled in 2025 and the company entered the S&P 500, in a remarkable year for the online retailer known for its iconic car vending machines for used vehicles.",Yahoo,https://finnhub.io/api/news?id=11d79f75cfb6fc998322e589441e0859f0fa49fdbfb530e25c72631b7614113c,2026-02-18T23:42:55Z,2026-09-14T15:32:34Z,direct,partnership_contract,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the partnership_contract context.,false,,event_1eb0453f78d8df7f,1,,true,exact_0a5f3c3fc4e86ce2,2,META|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=11d79f75cfb6fc998322e589441e0859f0fa49fdbfb530e25c72631b7614113c,Nvidia|deal|orders,c85628c4c51df586f3a46f03,2026-02-18T23:42:55+00:00,2026-02-18T18:42:55-05:00,1,0,0,0,0,0,0,165.28472222222223,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139139965,MU|NVDA,MU|NVDA,"Dow Jones Futures: S&P 500 Rises To Resistance As Nvidia, ASML Lead; Carvana Dives Late, Walmart Due","The stock market extended a bounce as ASML, Micron and Nvidia led, but the S&P 500 hit resistance. Walmart earnings loom.",Yahoo,https://finnhub.io/api/news?id=9da42d617f083283e09b665b1e84b12410fc491fe959bd92e6fdade0c6cefb7f,2026-02-18T23:51:07Z,2026-09-14T15:32:34Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_8914d76726de1b90,1,,true,exact_c04a92360be8e67c,2,MU|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=9da42d617f083283e09b665b1e84b12410fc491fe959bd92e6fdade0c6cefb7f,Nvidia,c7e14293014320015104b2fe,2026-02-18T23:51:07+00:00,2026-02-18T18:51:07-05:00,1,0,0,0,0,0,0,165.14805555555554,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2026-02-26,NVDA,-1,-1,0,1,0,1,1pct_down|5pct_down,2026-02-25,2026-02-25T21:00:00+00:00,2026-02-25T16:00:00-05:00,2026-02-26T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,139140900,NVDA,NVDA,Why Intel (INTC) Is Down 5.9% After Nvidia’s $5 Billion Stake and AI Foundry Reset – And What's Next,"In recent weeks, Intel has outlined an ambitious AI- and foundry-focused reset under new CEO Lip-Bu Tan, while also securing a multibillion‑dollar equity investment from Nvidia tied to custom AI chip collaborations. At the same time, analysts and investors are weighing weak near‑term guidance, persistent foundry losses, and intensifying data center competition against this transformation agenda. A particularly important development is Nvidia’s US$5.00 billion stake in Intel, which aligns...",Yahoo,https://finnhub.io/api/news?id=c2e660e824c4061c20ab30a8cf0f4b76830710b846a2f4908c1beb3c960654ac,2026-02-19T00:27:01Z,2026-09-14T15:32:35Z,direct,ai_infrastructure_spending,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the ai_infrastructure_spending context.,false,,event_77821f6f9ca705a0,1,,true,exact_7a6ce7e3a171351a,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=c2e660e824c4061c20ab30a8cf0f4b76830710b846a2f4908c1beb3c960654ac,Nvidia|data center,24a5c29f99d27f9dc0684af9,2026-02-19T00:27:01+00:00,2026-02-18T19:27:01-05:00,1,0,0,0,0,0,0,164.54972222222221,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
