event_date,ticker,price_move_1pct,price_move_5pct,shift_1pct_up,shift_1pct_down,shift_5pct_up,shift_5pct_down,shift_categories,previous_session_date,cutoff_utc,cutoff_new_york,interval_end_utc,timing_assumption,provisional_cutoff,article_id,queried_tickers,companies_discussed,headline,summary,source,url,published_at_utc,retrieved_at_utc,relevance_type,event_category,relevance_reason,excluded,exclusion_reason,duplicate_group_id,duplicate_group_size,duplicate_of_article_id,event_representative,exact_duplicate_group_id,raw_observation_count,finnhub_related,finnhub_category,image_url,normalized_url,matched_relevance_terms,article_match_key,publication_timestamp_utc,publication_timestamp_new_york,raw_content_variant_count,possible_revision_or_identity_conflict,known_revision_timestamp_present,missing_article_id,missing_headline,missing_source,missing_url,hours_before_cutoff,lookback_bucket,in_24h,in_72h,in_7d,historical_availability_uncertain,availability_note,known_post_cutoff_revision
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,138558729,NVDA,NVDA,"Nvidia's Jensen Huang Downplays Trump's National Security Concern, Says China Has 'Plenty' Of Its Own AI Chips: 'Foolish To Underestimate'","Nvidia CEO Jensen Huang dismissed U.S. security fears over chip sales to China, saying the country already makes &#34;plenty&#34; of AI chips and warning it&#39;s &#34;foolish to underestimate&#34; Huawei&#39;s growing technological power.",Benzinga,https://finnhub.io/api/news?id=226edda89a43a775a67508efac2649433e31723ef48786e3862ee29f3893e658,2025-11-01T04:13:51Z,2026-09-14T15:31:20Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_4dbfc5d8e870cb27,1,,true,exact_6de4e446cf1d951a,1,NVDA,company,https://cdn.benzinga.com/files/images/story/2025/11/01/Jensen-Huang-Nvidias-Founder--President-.jpeg?width=2048&height=1536,https://finnhub.io/api/news?id=226edda89a43a775a67508efac2649433e31723ef48786e3862ee29f3893e658,Nvidia,f790396010ed842a8ec5f550,2025-11-01T04:13:51+00:00,2025-11-01T00:13:51-04:00,1,0,0,0,0,0,0,160.76916666666668,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,138449601,AMZN|GOOGL|META|MSFT|NVDA,AMZN|GOOGL|META|MSFT|NVDA,"Benzinga Bulls And Bears: Microsoft, Joby Aviation, Meta — And Nvidia Tops $5 Trillion",Benzinga examined the prospects for many investors&#39; favorite stocks over the last week — here&#39;s a look at some of our top stories.,Benzinga,https://finnhub.io/api/news?id=aecab7c9e4184ac69d83f8e25cf6bf3a3dce11c2383990b40c99a95193b99045,2025-11-01T08:04:59Z,2026-09-14T15:31:20Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_b4b8ff4fd594758c,1,,true,exact_310d3fd6be9759ad,5,AMZN|GOOGL|META|MSFT|NVDA,company,https://cdn.benzinga.com/files/images/story/2025/11/01/Bulls-and-Bears-1.jpeg?width=2048&height=1536,https://finnhub.io/api/news?id=aecab7c9e4184ac69d83f8e25cf6bf3a3dce11c2383990b40c99a95193b99045,Nvidia,47c8c89e0e2e6e506a8f02e4,2025-11-01T08:04:59+00:00,2025-11-01T04:04:59-04:00,1,0,0,0,0,0,0,156.91694444444445,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294422,GOOGL,GOOGL|NVDA,Could Google Parent Alphabet Become the Nvidia of Quantum Computing?,"Being Google's parent should be enough for Alphabet, even if it doesn't ultimately dominate the quantum chip market.",Yahoo,https://finnhub.io/api/news?id=6bbf544a8ab39c1e0fc8baad55ed107f6fff793cff16b59879ed1edb45af1c54,2025-11-01T08:44:00Z,2026-09-14T15:40:23Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_b436a56ff4cfb502,1,,true,exact_072c5310a289c53b,1,GOOGL,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=6bbf544a8ab39c1e0fc8baad55ed107f6fff793cff16b59879ed1edb45af1c54,Nvidia,0a0867250f623ae3c35057ba,2025-11-01T08:44:00+00:00,2025-11-01T04:44:00-04:00,1,0,0,0,0,0,0,156.26666666666668,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294350,GOOGL,AMZN|GOOGL|META|MSFT|NVDA,Magnificent Seven’s reign rolls on as Powell puts chill on rate-cut hopes,"Nvidia, Microsoft, Apple, Amazon, Alphabet, Meta Platforms and Tesla now boast a combined market value north of $22 trillion.",Yahoo,https://finnhub.io/api/news?id=c6e2b8b53cb99b7ca2752a8f38f8818df93fbff153b6b3c6fc60f368e73c886c,2025-11-01T11:02:51Z,2026-09-14T15:40:23Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,true,summary_only_mention_without_material_nvidia_event,event_b690a37683be11df,1,,true,exact_bfade200a511f488,1,GOOGL,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=c6e2b8b53cb99b7ca2752a8f38f8818df93fbff153b6b3c6fc60f368e73c886c,Nvidia,c3e72fa91dbfa0cf10c8728b,2025-11-01T11:02:51+00:00,2025-11-01T07:02:51-04:00,1,0,0,0,0,0,0,153.9525,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294373,AMD|META|MSFT,AMD|META|MSFT|NVDA,The Weekend: US and China call a truce in trade war while Nvidia makes history,"Key moments from the last seven days, plus a glimpse at the week ahead.",Yahoo,https://finnhub.io/api/news?id=4a9673fab779111a9c375df7f00cf6d2755f1eb2829523653ee7e082add75abf,2025-11-01T14:11:33Z,2026-09-14T15:29:45Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_8f1517bc033217aa,1,,true,exact_cc98534d74f8a5a0,3,AMD|META|MSFT,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=4a9673fab779111a9c375df7f00cf6d2755f1eb2829523653ee7e082add75abf,Nvidia,c78f917ad77b72f4763a6143,2025-11-01T14:11:33+00:00,2025-11-01T10:11:33-04:00,1,0,0,0,0,0,0,150.8075,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294345,GOOGL|META|MSFT,GOOGL|META|MSFT|NVDA,"1 Unstoppable Stock to Buy Before It Joins Nvidia, Apple, Microsoft, and Alphabet in the $3 Trillion Club","Meta Platforms is growing its revenue faster than almost every other ""Magnificent Seven"" company, yet its stock is the cheapest of them all.",Yahoo,https://finnhub.io/api/news?id=cea00d7013c619100e77d4eae489cd3aade502acc8ade0c5615dded1a9d7de1a,2025-11-02T08:49:00Z,2026-09-14T15:36:36Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,true,generic_recommendation_or_listicle,event_8817a132af46e749,1,,true,exact_55ef77256c5a67d7,3,GOOGL|META|MSFT,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=cea00d7013c619100e77d4eae489cd3aade502acc8ade0c5615dded1a9d7de1a,Nvidia,8f385502fcbeda0d41bc917e,2025-11-02T08:49:00+00:00,2025-11-02T03:49:00-05:00,1,0,0,0,0,0,0,132.18333333333334,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,138443049,AMD|AMZN|GOOGL|META|MSFT|MU|NVDA|TSM,AMD|AMZN|GOOGL|META|MSFT|MU|NVDA|TSM,"Consumer Tech News (Oct 27-31): Nvidia Surpasses $5T Market Cap, Trump-Xi Meeting Concludes, Big Tech Report Earnings & More","Apple, Amazon, Microsoft, and Alphabet beat Q3 estimates with revenue and earnings growth. Trump and Xi conclude high-stakes meeting with trade, soybean, and resource agreements, potentially impacting U.S.-China economic relations and global markets.",Benzinga,https://finnhub.io/api/news?id=f76da5a314a959213162b69cd438c509d1ed5317bf0b72a8675df963a366a771,2025-11-02T09:39:55Z,2026-09-14T15:29:45Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,true,earnings_report_preview_or_recap,event_d1c7544112338104,1,,true,exact_d1a547be8fae9629,8,AMD|AMZN|GOOGL|META|MSFT|MU|NVDA|TSM,company,https://cdn.benzinga.com/files/images/story/2025/11/02/Nvidia.jpeg?width=2048&height=1536,https://finnhub.io/api/news?id=f76da5a314a959213162b69cd438c509d1ed5317bf0b72a8675df963a366a771,Nvidia,83f52effb5a8b4c1d0ff36c5,2025-11-02T09:39:55+00:00,2025-11-02T04:39:55-05:00,1,0,0,0,0,0,0,131.3347222222222,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294397,AVGO,AVGO,How the Story Around Broadcom Is Shifting Amid New AI Partnerships and Analyst Upgrades,"Broadcom stock has recently seen its consensus analyst price target edge higher, now reaching $392.38 compared to $386.68 previously. This modest increase reflects renewed analyst optimism amid robust AI partnerships and a surge in custom chip demand. Investors should watch closely for further updates on Broadcom’s evolving market narrative and learn how to stay ahead of future shifts in outlook. Analyst Price Targets don't always capture the full story. Head over to our Company Report to...",Yahoo,https://finnhub.io/api/news?id=7b4c7aa999c12974dc2b9a0dbc7a01279e3388c8ec44f7a4fa5958634afc0d63,2025-11-02T10:11:08Z,2026-09-14T15:35:58Z,indirect,competing_accelerators_custom_chips,A competing accelerator or customer-designed chip can affect Nvidia's share of AI-compute spending.,false,,event_2f667d4ebdb42659,1,,true,exact_a3ab6d7b4818f5b6,1,AVGO,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=7b4c7aa999c12974dc2b9a0dbc7a01279e3388c8ec44f7a4fa5958634afc0d63,custom chip|broadcom,b16a957aae5e0d4a506ba0fc,2025-11-02T10:11:08+00:00,2025-11-02T05:11:08-05:00,1,0,0,0,0,0,0,130.81444444444443,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294335,NVDA,NVDA,Jensen Huang Just Gave Investors 1 Incredible Reason to Buy Nvidia Stock Hand Over Fist,Wall Street analysts are underestimating Nvidia's growth potential.,Yahoo,https://finnhub.io/api/news?id=a7f1e8cf13b7fc32e61bee2a06e739964dec1fbd03474a69498c88d55c49b771,2025-11-02T10:25:00Z,2026-09-14T15:31:21Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_ae68f9c7cd845aa4,1,,true,exact_fd5eadd6a4a8a221,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=a7f1e8cf13b7fc32e61bee2a06e739964dec1fbd03474a69498c88d55c49b771,Nvidia,b10a4f27b6e9a440c160ace0,2025-11-02T10:25:00+00:00,2025-11-02T05:25:00-05:00,1,0,0,0,0,0,0,130.58333333333334,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,137294333,NVDA,NVDA,"Is Nvidia Still a Safe Bet if the ""AI Bubble"" Deflates?",The problem with bubbles is you never know when they will pop or how long the fallout will linger.,Yahoo,https://finnhub.io/api/news?id=bdfc2573fac841b2db3467678f2390061e6df2c54b910e9abf89d5fcebbae9c0,2025-11-02T10:42:00Z,2026-09-14T15:31:21Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_20e933540fd1368a,1,,true,exact_3fb2af0a4fbfb509,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=bdfc2573fac841b2db3467678f2390061e6df2c54b910e9abf89d5fcebbae9c0,Nvidia,2c50edfdcb06f182abd2530f,2025-11-02T10:42:00+00:00,2025-11-02T05:42:00-05:00,1,0,0,0,0,0,0,130.3,more than 72 hours–7 calendar days,0,0,1,1,retrospective_snapshot_no_historical_version_guarantee,0
