event_date,ticker,price_move_1pct,price_move_5pct,shift_1pct_up,shift_1pct_down,shift_5pct_up,shift_5pct_down,shift_categories,previous_session_date,cutoff_utc,cutoff_new_york,interval_end_utc,timing_assumption,provisional_cutoff,article_count_24h,collection_window_verified_24h,article_count_72h,collection_window_verified_72h,article_count_7d,collection_window_verified_7d,coverage_issues,incomplete_lookback_at_news_start,extends_past_news_collection_end,known_collection_gap,potential_truncation,zero_match_interpretation,historical_availability_uncertain_count,possible_revision_or_identity_conflict_count,missing_article_fields_count,provider_source_completeness_unverified
2025-10-06,NVDA,-1,0,0,1,0,0,1pct_down,2025-10-03,2025-10-03T20:00:00+00:00,2025-10-03T16:00:00-04:00,2025-10-06T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,38,1,104,0,104,0,"[{""date_utc"":""2025-09-26"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-27"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-28"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-29"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]},{""date_utc"":""2025-09-30"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]}]",1,0,1,0,has_matches,104,1,0,1
2025-10-08,NVDA,1,0,1,0,0,0,1pct_up,2025-10-07,2025-10-07T20:00:00+00:00,2025-10-07T16:00:00-04:00,2025-10-08T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,44,1,86,1,192,0,"[{""date_utc"":""2025-09-30"",""state"":""outside_collected_date_range"",""tickers"":[""AMD"",""AMZN"",""AVGO"",""GOOGL"",""META"",""MSFT"",""MU"",""NVDA"",""TSM""]}]",1,0,1,0,has_matches,192,1,0,1
2025-10-09,NVDA,1,0,1,0,0,0,1pct_up,2025-10-08,2025-10-08T20:00:00+00:00,2025-10-08T16:00:00-04:00,2025-10-09T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,67,1,143,1,223,1,[],0,0,0,0,has_matches,223,0,0,1
2025-10-10,NVDA,-1,0,0,1,0,0,1pct_down,2025-10-09,2025-10-09T20:00:00+00:00,2025-10-09T16:00:00-04:00,2025-10-10T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,59,1,170,1,252,1,[],0,0,0,0,has_matches,252,1,0,1
2025-10-13,NVDA,1,0,1,0,0,0,1pct_up,2025-10-10,2025-10-10T20:00:00+00:00,2025-10-10T16:00:00-04:00,2025-10-13T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,20,1,146,1,234,1,[],0,0,0,0,has_matches,234,1,0,1
2025-10-14,NVDA,-1,0,0,1,0,0,1pct_down,2025-10-13,2025-10-13T20:00:00+00:00,2025-10-13T16:00:00-04:00,2025-10-14T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,42,1,72,1,262,1,[],0,0,0,0,has_matches,262,2,0,1
2025-10-16,NVDA,1,0,1,0,0,0,1pct_up,2025-10-15,2025-10-15T20:00:00+00:00,2025-10-15T16:00:00-04:00,2025-10-16T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,42,1,130,1,239,1,[],0,0,0,0,has_matches,239,2,0,1
2025-10-23,NVDA,1,0,1,0,0,0,1pct_up,2025-10-22,2025-10-22T20:00:00+00:00,2025-10-22T16:00:00-04:00,2025-10-23T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,22,1,66,1,179,1,[],0,0,0,0,has_matches,179,1,0,1
2025-10-24,NVDA,1,0,1,0,0,0,1pct_up,2025-10-23,2025-10-23T20:00:00+00:00,2025-10-23T16:00:00-04:00,2025-10-24T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,18,1,69,1,149,1,[],0,0,0,0,has_matches,149,0,0,1
2025-10-27,NVDA,1,0,1,0,0,0,1pct_up,2025-10-24,2025-10-24T20:00:00+00:00,2025-10-24T16:00:00-04:00,2025-10-27T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,10,1,50,1,115,1,[],0,0,0,0,has_matches,115,0,0,1
2025-10-28,NVDA,1,0,1,0,0,0,1pct_up,2025-10-27,2025-10-27T20:00:00+00:00,2025-10-27T16:00:00-04:00,2025-10-28T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,40,1,50,1,129,1,[],0,0,0,0,has_matches,129,0,0,1
2025-10-29,NVDA,1,0,1,0,0,0,1pct_up,2025-10-28,2025-10-28T20:00:00+00:00,2025-10-28T16:00:00-04:00,2025-10-29T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,57,1,104,1,157,1,[],0,0,0,0,has_matches,157,0,0,1
2025-10-30,NVDA,-1,0,0,1,0,0,1pct_down,2025-10-29,2025-10-29T20:00:00+00:00,2025-10-29T16:00:00-04:00,2025-10-30T20:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,104,1,201,1,239,1,[],0,0,0,0,has_matches,239,2,0,1
2025-11-03,NVDA,1,0,1,0,0,0,1pct_up,2025-10-31,2025-10-31T20:00:00+00:00,2025-10-31T16:00:00-04:00,2025-11-03T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,50,1,202,1,309,1,[],0,0,0,0,has_matches,309,3,0,1
2025-11-04,NVDA,-1,0,0,1,0,0,1pct_down,2025-11-03,2025-11-03T21:00:00+00:00,2025-11-03T16:00:00-05:00,2025-11-04T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,62,1,82,1,341,1,[],0,0,0,0,has_matches,341,3,0,1
2025-11-05,NVDA,-1,0,0,1,0,0,1pct_down,2025-11-04,2025-11-04T21:00:00+00:00,2025-11-04T16:00:00-05:00,2025-11-05T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,33,1,110,1,317,1,[],0,0,0,0,has_matches,317,3,0,1
2025-11-06,NVDA,-1,0,0,1,0,0,1pct_down,2025-11-05,2025-11-05T21:00:00+00:00,2025-11-05T16:00:00-05:00,2025-11-06T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,9,1,104,1,222,1,[],0,0,0,0,has_matches,222,2,0,1
2025-11-10,NVDA,1,1,1,0,1,0,1pct_up|5pct_up,2025-11-07,2025-11-07T21:00:00+00:00,2025-11-07T16:00:00-05:00,2025-11-10T21:00:00+00:00,documented_adjusted_close_to_close_previous_NASDAQ_session_close,0,45,1,72,1,187,1,[],0,0,0,0,has_matches,187,2,0,1
