window_id,ticker,from_date,to_date,status,http_status,article_count,retrieved_at_utc,raw_file,error_kind
window_46641913618ba5dd,AMD,2025-10-01,2025-10-07,success,200,210,2026-09-14T15:29:41Z,raw/responses/AMD/2025-10-01_2025-10-07.json,
window_b11381e3d9d74040,AMD,2025-10-08,2025-10-14,success,200,239,2026-09-14T15:29:42Z,raw/responses/AMD/2025-10-08_2025-10-14.json,
window_55a016a875b8bbb1,AMD,2025-10-15,2025-10-21,success,200,182,2026-09-14T15:29:43Z,raw/responses/AMD/2025-10-15_2025-10-21.json,
window_8e5ee30ee2c391d9,AMD,2025-10-22,2025-10-28,success,200,187,2026-09-14T15:29:44Z,raw/responses/AMD/2025-10-22_2025-10-28.json,
window_2643d3727ce07698,AMD,2025-10-29,2025-11-04,success,200,197,2026-09-14T15:29:45Z,raw/responses/AMD/2025-10-29_2025-11-04.json,
window_f57b363572278128,AMD,2025-11-05,2025-11-11,success,200,178,2026-09-14T15:29:46Z,raw/responses/AMD/2025-11-05_2025-11-11.json,
window_a451f3bdb3d9c7b6,AMD,2025-11-12,2025-11-18,success,200,217,2026-09-14T15:29:47Z,raw/responses/AMD/2025-11-12_2025-11-18.json,
window_18d74d64d3572d3f,AMD,2025-11-19,2025-11-25,success,200,219,2026-09-14T15:29:48Z,raw/responses/AMD/2025-11-19_2025-11-25.json,
window_b9b8bb0a9edea6ba,AMD,2025-11-26,2025-12-02,success,200,125,2026-09-14T15:29:49Z,raw/responses/AMD/2025-11-26_2025-12-02.json,
window_d71c2c6933047033,AMD,2025-12-03,2025-12-09,success,200,133,2026-09-14T15:29:51Z,raw/responses/AMD/2025-12-03_2025-12-09.json,
window_642510781a061b08,AMD,2025-12-10,2025-12-16,success,200,139,2026-09-14T15:29:52Z,raw/responses/AMD/2025-12-10_2025-12-16.json,
window_774bcd7ea5cc2aa5,AMD,2025-12-17,2025-12-23,success,200,120,2026-09-14T15:29:53Z,raw/responses/AMD/2025-12-17_2025-12-23.json,
window_f84297968a037cd4,AMD,2025-12-24,2025-12-30,success,200,88,2026-09-14T15:29:54Z,raw/responses/AMD/2025-12-24_2025-12-30.json,
window_f8f0ab5b57454e51,AMD,2025-12-31,2026-01-06,success,200,162,2026-09-14T15:29:55Z,raw/responses/AMD/2025-12-31_2026-01-06.json,
window_0a28cba557f38011,AMD,2026-01-07,2026-01-13,success,200,154,2026-09-14T15:29:56Z,raw/responses/AMD/2026-01-07_2026-01-13.json,
window_b99d3b197606cdf8,AMD,2026-01-14,2026-01-20,success,200,227,2026-09-14T15:29:57Z,raw/responses/AMD/2026-01-14_2026-01-20.json,
window_a83f09741787bdca,AMD,2026-01-21,2026-01-27,success,200,170,2026-09-14T15:29:58Z,raw/responses/AMD/2026-01-21_2026-01-27.json,
window_324373e9e8f23ef5,AMD,2026-01-28,2026-01-31,success,200,94,2026-09-14T15:34:38Z,raw/responses/AMD/2026-01-28_2026-01-31.json,
window_9f7a71e55feee9c1,AMD,2026-01-28,2026-02-03,split_potential_truncation,200,243,2026-09-14T15:29:59Z,raw/responses/AMD/2026-01-28_2026-02-03.json,
window_e5c63a8ad416c04b,AMD,2026-02-01,2026-02-03,success,200,175,2026-09-14T15:34:39Z,raw/responses/AMD/2026-02-01_2026-02-03.json,
window_3fc1c2ba65d20380,AMD,2026-02-04,2026-02-05,success,200,189,2026-09-14T15:34:41Z,raw/responses/AMD/2026-02-04_2026-02-05.json,
window_67742f71eb3a6441,AMD,2026-02-04,2026-02-07,split_potential_truncation,200,244,2026-09-14T15:34:40Z,raw/responses/AMD/2026-02-04_2026-02-07.json,
window_e05d90d689719da2,AMD,2026-02-04,2026-02-10,split_potential_truncation,200,244,2026-09-14T15:30:01Z,raw/responses/AMD/2026-02-04_2026-02-10.json,
window_0356dfd746acc5a9,AMD,2026-02-06,2026-02-07,success,200,64,2026-09-14T15:34:43Z,raw/responses/AMD/2026-02-06_2026-02-07.json,
window_f0b5467da8e63e5c,AMD,2026-02-08,2026-02-10,success,200,71,2026-09-14T15:34:44Z,raw/responses/AMD/2026-02-08_2026-02-10.json,
window_8c73869e7fc5826c,AMD,2026-02-11,2026-02-17,success,200,119,2026-09-14T15:30:02Z,raw/responses/AMD/2026-02-11_2026-02-17.json,
window_9fdf36fa964c4856,AMD,2026-02-18,2026-02-24,success,200,238,2026-09-14T15:30:03Z,raw/responses/AMD/2026-02-18_2026-02-24.json,
window_29f73d904015c91f,AMD,2026-02-25,2026-02-28,success,200,189,2026-09-14T15:34:45Z,raw/responses/AMD/2026-02-25_2026-02-28.json,
window_eacceabcf5bb7cb3,AMD,2026-02-25,2026-03-03,split_potential_truncation,200,243,2026-09-14T15:30:05Z,raw/responses/AMD/2026-02-25_2026-03-03.json,
window_9d6b469be60fa871,AMD,2026-03-01,2026-03-03,success,200,72,2026-09-14T15:34:46Z,raw/responses/AMD/2026-03-01_2026-03-03.json,
window_a3bbb21a067af098,AMD,2026-03-04,2026-03-10,success,200,185,2026-09-14T15:30:07Z,raw/responses/AMD/2026-03-04_2026-03-10.json,
window_d32d5f6ab8f14c5a,AMD,2026-03-11,2026-03-17,success,200,160,2026-09-14T15:30:09Z,raw/responses/AMD/2026-03-11_2026-03-17.json,
window_af3a293731fdb52a,AMD,2026-03-18,2026-03-24,success,200,159,2026-09-14T15:30:10Z,raw/responses/AMD/2026-03-18_2026-03-24.json,
window_6ae90aceded2ee6c,AMD,2026-03-25,2026-03-31,success,200,194,2026-09-14T15:30:11Z,raw/responses/AMD/2026-03-25_2026-03-31.json,
window_a178cc4b7072c802,AMD,2026-04-01,2026-04-07,success,200,134,2026-09-14T15:30:12Z,raw/responses/AMD/2026-04-01_2026-04-07.json,
window_6656b9babc64a35a,AMD,2026-04-08,2026-04-14,success,200,130,2026-09-14T15:30:13Z,raw/responses/AMD/2026-04-08_2026-04-14.json,
window_eb679167f427fa40,AMD,2026-04-15,2026-04-21,success,200,185,2026-09-14T15:30:15Z,raw/responses/AMD/2026-04-15_2026-04-21.json,
window_6a8f4484d097b1a8,AMD,2026-04-22,2026-04-25,success,200,194,2026-09-14T15:34:47Z,raw/responses/AMD/2026-04-22_2026-04-25.json,
window_66f7f3e1bd1bed45,AMD,2026-04-22,2026-04-28,split_potential_truncation,200,245,2026-09-14T15:30:16Z,raw/responses/AMD/2026-04-22_2026-04-28.json,
window_1957d470e54782bb,AMD,2026-04-26,2026-04-28,success,200,145,2026-09-14T15:34:48Z,raw/responses/AMD/2026-04-26_2026-04-28.json,
window_f5195f0a4793bbd7,AMD,2026-04-29,2026-05-01,success,200,122,2026-09-14T15:30:17Z,raw/responses/AMD/2026-04-29_2026-05-01.json,
window_32a8302326475292,AMZN,2025-10-01,2025-10-07,success,200,219,2026-09-14T15:38:13Z,raw/responses/AMZN/2025-10-01_2025-10-07.json,
window_cdaef7b51c8c104b,AMZN,2025-10-08,2025-10-14,success,200,235,2026-09-14T15:38:14Z,raw/responses/AMZN/2025-10-08_2025-10-14.json,
window_12eaf503769f79fa,AMZN,2025-10-15,2025-10-18,success,200,141,2026-09-14T15:38:16Z,raw/responses/AMZN/2025-10-15_2025-10-18.json,
window_a474faaa122d8e4b,AMZN,2025-10-15,2025-10-21,split_potential_truncation,200,242,2026-09-14T15:38:15Z,raw/responses/AMZN/2025-10-15_2025-10-21.json,
window_b64155ca684807d3,AMZN,2025-10-19,2025-10-21,success,200,101,2026-09-14T15:38:17Z,raw/responses/AMZN/2025-10-19_2025-10-21.json,
window_9647af059331055a,AMZN,2025-10-22,2025-10-25,success,200,99,2026-09-14T15:38:19Z,raw/responses/AMZN/2025-10-22_2025-10-25.json,
window_3ca195ae84542c83,AMZN,2025-10-22,2025-10-28,split_potential_truncation,200,241,2026-09-14T15:38:18Z,raw/responses/AMZN/2025-10-22_2025-10-28.json,
window_4cffed09016a0aa4,AMZN,2025-10-26,2025-10-28,success,200,143,2026-09-14T15:38:20Z,raw/responses/AMZN/2025-10-26_2025-10-28.json,
window_4ad4874d966d8432,AMZN,2025-10-29,2025-11-01,success,200,232,2026-09-14T15:38:22Z,raw/responses/AMZN/2025-10-29_2025-11-01.json,
window_a2d4272e7f173c27,AMZN,2025-10-29,2025-11-04,split_potential_truncation,200,241,2026-09-14T15:38:21Z,raw/responses/AMZN/2025-10-29_2025-11-04.json,
window_8b7e9f7ebaf47d9f,AMZN,2025-11-02,2025-11-04,success,200,155,2026-09-14T15:38:24Z,raw/responses/AMZN/2025-11-02_2025-11-04.json,
window_5b183012e0bac15e,AMZN,2025-11-05,2025-11-08,success,200,140,2026-09-14T15:38:26Z,raw/responses/AMZN/2025-11-05_2025-11-08.json,
window_2ed219cde3edcce3,AMZN,2025-11-05,2025-11-11,split_potential_truncation,200,242,2026-09-14T15:38:25Z,raw/responses/AMZN/2025-11-05_2025-11-11.json,
window_919f01e78fdf3b67,AMZN,2025-11-09,2025-11-11,success,200,113,2026-09-14T15:38:27Z,raw/responses/AMZN/2025-11-09_2025-11-11.json,
