article_id,queried_tickers,companies_discussed,headline,summary,source,url,published_at_utc,retrieved_at_utc,relevance_type,event_category,relevance_reason,excluded,exclusion_reason,duplicate_group_id,duplicate_group_size,duplicate_of_article_id,event_representative,exact_duplicate_group_id,raw_observation_count,finnhub_related,finnhub_category,image_url,normalized_url,matched_relevance_terms
136988967,NVDA,AMD|NVDA,Should Nvidia be worried about AMD's chip deal with OpenAI?,"Advanced Micro Devices (AMD) is maintaining its share gains late Monday morning after announcing an AI chip partnership with OpenAI (OPAI.PVT); this deal has OpenAI taking up a 10% stake in AMD. This all comes after Nvidia (NVDA) inked a $100 billion investment into OpenAI while also brokering partnerships with Intel (INTC) and Alibaba (BABA). Lopez Research founder Maribel Lopez discusses what this deal could mean for AMD's inferencing technology and AI chipmaking competitor Nvidia. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",Yahoo,https://finnhub.io/api/news?id=e346baa07fd20b8b17f415de4b625d967abebc6db30667e47c2034e7ab1a3600,2025-10-06T16:45:00Z,2026-09-14T15:31:07Z,direct,partnership_contract,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the partnership_contract context.,false,,event_8448aaa55ffea44b,1,,true,exact_d04003225c74a8e7,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=e346baa07fd20b8b17f415de4b625d967abebc6db30667e47c2034e7ab1a3600,Nvidia|NVDA|partnership|partnerships|deal
138812583,NVDA|TSM,NVDA|TSM,Nvidia CEO Jensen Huang Delivers Stark Message In Washington — US Can't Win AI Battle By Shutting Out China's Developers: 'It Hurts Us More',"Nvidia CEO Jensen Huang warned in Washington that America cannot win the global AI race by isolating China, urging the Trump administration to balance national security with global access as Nvidia builds U.S. supercomputers and partnerships while its China market collapses to zero.",Benzinga,https://finnhub.io/api/news?id=5e930d2f2e383cdec8c95c2cc84961b40842af21758655a2a9d6357cbf9bc13e,2025-10-28T22:24:31Z,2026-09-14T15:30:21Z,direct,export_controls_market_access,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the export_controls_market_access context.,false,,event_e0183ae0b9ededad,2,,true,exact_cf6ba739d298914b,2,NVDA|TSM,company,https://cdn.benzinga.com/files/images/story/2025/10/28/Taipei--Taiwan-On-June-1--2023--Jen-hsun.jpeg?width=2048&height=1536,https://finnhub.io/api/news?id=5e930d2f2e383cdec8c95c2cc84961b40842af21758655a2a9d6357cbf9bc13e,Nvidia|china market
137605699,GOOGL|META,GOOGL|META|NVDA,Google TPUs vs. Nvidia GPUs: The differences between these 2 chips,"Nvidia (NVDA) stock is falling Tuesday morning after The Information reported that Meta Platforms (META) is in talks with Alphabet's Google (GOOG, GOOGL) to purchase billions of dollars in AI chips to use in data centers. Yahoo Finance tech editor Dan Howley breaks down the key differences between Nvidia's GPUs (Graphics Processing Units) and Google's TPU (Tensor Processing Units). Google's chips are noted to be Application-Specific Integrated Circuits, or ASICs To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",Yahoo,https://finnhub.io/api/news?id=3aaf224092903c1a05083bae61cd6af5af21f717af3c387fc3767ab07f1f58a8,2025-11-25T17:15:00Z,2026-09-14T15:40:32Z,direct,competing_accelerators_custom_chips,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the competing_accelerators_custom_chips context.,false,,event_2c27cfce54b26baf,1,,true,exact_5028bc1e683b576d,2,GOOGL|META,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=3aaf224092903c1a05083bae61cd6af5af21f717af3c387fc3767ab07f1f58a8,Nvidia|NVDA|tpu
137999304,NVDA,NVDA,Open AI vs. Nvidia: Who really has the AI moat?,"Listen and subscribe to Stocks In Translation on Apple Podcasts, Spotify, or wherever you find your favorite podcast. The AI trade is entering a new chapter, and it won’t look like the last one… In this episode of Stocks in Translation, Spear Invest founder and CIO Ivana Delevska joins host Jared Blikre and Yahoo Finance Senior Reporter Brooke DiPalma to discuss the AI trade heading into 2026. Delevska explains why early AI leaders are no longer moving in lockstep, how advantages differ between model builders like OpenAI and infrastructure giants like Nvidia (NVDA), and why returns are showing up faster in hardware, networking, and power than in AI models themselves.Twice a week, Stocks In Translation cuts through the market mayhem, noisy numbers and hyperbole to give you the information you need to make the right trade for your portfolio. You can find more episodes here, or watch on your favorite streaming service. This post was written by Lauren Pokedoff",Yahoo,https://finnhub.io/api/news?id=33779d75b6848e18167733dc2024c62214879cfc31e027ad305dc579078c50c6,2026-01-06T11:00:22Z,2026-09-14T15:31:47Z,direct,other_nvidia_development,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the other_nvidia_development context.,false,,event_ec612b5b08ee4751,1,,true,exact_41a77c531e00d717,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=33779d75b6848e18167733dc2024c62214879cfc31e027ad305dc579078c50c6,Nvidia|NVDA
138305211,NVDA,NVDA,"Nvidia Aided China's DeepSeek In Advancing Powerful AI Models Later Linked To Military Use, House Committee Chair Alleges: Report","A U.S. lawmaker has alleged that Nvidia Corp (NASDAQ:NVDA) provided technical assistance to Chinese AI startup DeepSeek. Nvidia Technical Support Allegedly Boosted DeepSeek's Efficiency Nvidia helped DeepSeek improve the efficiency of its artificial intelligence models, according to a letter sent to the U.S. Commerce Department by Rep. John Moolenaar (R-Mich.), chair of the House Select Committee on China. The letter, seen by Reuters on Wednesday, says documents obtained by the committee show th",Yahoo,https://finnhub.io/api/news?id=b5e47201292d0cda701b2850426f4270632f8e19b5c7cee0b89d1bb2b61bbb31,2026-01-30T12:31:33Z,2026-09-14T15:32:09Z,direct,regulatory_action,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the regulatory_action context.,false,,event_cebc55e942708f12,1,,true,exact_903836e1bf7cfa5b,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=b5e47201292d0cda701b2850426f4270632f8e19b5c7cee0b89d1bb2b61bbb31,Nvidia|NVDA|commerce department
138387440,MU|NVDA,MU|NVDA,Micron’s Nvidia HBM4 Setback And US$24b Singapore Bet On AI Memory,"Reports indicate Micron Technology (NasdaqGS:MU) is not expected to be part of Nvidia's supplier list for next generation HBM4 due to performance limitations. The company has announced plans for a new wafer fabrication facility in Singapore with investment of about US$24b. The Singapore plant is intended to increase output of advanced NAND and HBM memory aimed at AI related workloads. Micron is a major producer of DRAM, NAND and high bandwidth memory used in data centers, smartphones and...",Yahoo,https://finnhub.io/api/news?id=beb54db3df0897e04139f975dc2b9f04ea5af78dedf3f70cb59f90a2a2259a56,2026-02-07T18:04:02Z,2026-09-14T15:32:18Z,direct,manufacturing_packaging_hbm,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the manufacturing_packaging_hbm context.,false,,event_bac48c5e292d3661,1,,true,exact_77032cc21abc1b20,2,MU|NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=beb54db3df0897e04139f975dc2b9f04ea5af78dedf3f70cb59f90a2a2259a56,Nvidia|high bandwidth memory|hbm|hbm4
139444631,NVDA,NVDA,Will NVIDIA's (NVDA) Vera Rubin AI Factory Vision Redefine Its End‑to‑End Infrastructure Narrative?,"At GTC 2026, NVIDIA and partners unveiled the Vera Rubin AI platform, new CPUs, storage and networking architectures, and hundreds of ecosystem deployments spanning data centers, autonomous vehicles, robotics, healthcare, and space. Together with a forecast of US$1 trillion in cumulative Blackwell and Rubin orders through 2027, these launches position NVIDIA as an end‑to‑end backbone for agentic and physical AI across industries. We’ll now look at how Vera Rubin’s full‑stack AI factory...",Yahoo,https://finnhub.io/api/news?id=a5d736d0682395802eb92161c33de066cf18239ff6858b7f48a2d3da7abd8e90,2026-03-17T21:14:27Z,2026-09-14T15:33:22Z,direct,product_announcement,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the product_announcement context.,false,,event_a59d0e81ac0dbcc8,1,,true,exact_af37828c82657eba,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=a5d736d0682395802eb92161c33de066cf18239ff6858b7f48a2d3da7abd8e90,Nvidia|NVDA|launches|unveiled|blackwell|rubin
139532696,NVDA,NVDA,Nvidia In Crosshairs As Senators Question China Export Controls,Senators Banks and Warren urge NVDA export ban to China after SMCI smuggling case. National security concerns rise as Nvidia stock slips.,Benzinga,https://finnhub.io/api/news?id=69a313c7674e480af4b10680842c7ee41c120f37353187f04a54ea020bffc468,2026-03-24T10:47:53Z,2026-09-14T15:33:35Z,direct,export_controls_market_access,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the export_controls_market_access context.,false,,event_82bdc4ed3958611c,1,,true,exact_8187c08fb0e2518f,1,NVDA,company,https://cdn.benzinga.com/files/images/story/2026/03/24/Nvidia-and-China.jpeg?width=2048&height=1536,https://finnhub.io/api/news?id=69a313c7674e480af4b10680842c7ee41c120f37353187f04a54ea020bffc468,Nvidia|NVDA|export ban|smuggling
139616083,NVDA,NVDA,Nvidia’s US$2b Marvell Stake Expands AI Data Center And Telecom Reach,"Nvidia, ticker NasdaqGS:NVDA, is investing US$2b in Marvell Technology to deepen collaboration on AI infrastructure. The deal links Marvell’s custom XPUs and networking with Nvidia’s NVLink Fusion AI factory and AI-RAN platforms. Marvell’s networking, silicon photonics, and telecom hardware will connect directly into Nvidia’s broader compute stack. Nvidia has built its reputation around GPUs for AI and accelerated computing, and now the company is tying that core business more tightly to...",Yahoo,https://finnhub.io/api/news?id=a103d6d5245251770e08545beb8857ff72d9234af5790352be4a36cc1bd79656,2026-04-03T00:21:46Z,2026-09-14T15:33:52Z,direct,ai_infrastructure_spending,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the ai_infrastructure_spending context.,false,,event_909a566ed4617a37,1,,true,exact_294ccb84113457af,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=a103d6d5245251770e08545beb8857ff72d9234af5790352be4a36cc1bd79656,Nvidia|NVDA|ai infrastructure|data center|ai factory
139840311,NVDA,NVDA,NVIDIA CEO Jensen Huang Says Manufacturing Bottlenecks Are a ‘2–3 Year Problem.’ Here’s What That Means for Investors,"“Once you can build one, you can build 10. And once you can build 10, you can build a million.” That is how NVIDIA (NASDAQ:NVDA) CEO Jensen Huang frames the manufacturing bottleneck question that keeps some investors up at night. The logic is simple, and the implications for NVIDIA shareholders are worth unpacking carefully. What ... NVIDIA CEO Jensen Huang Says Manufacturing Bottlenecks Are a ‘2–3 Year Problem.’ Here’s What That Means for Investors",Yahoo,https://finnhub.io/api/news?id=45bcb4cf3fedf0e566f586ec905e3bf2c265a15af2ea21326cc43f708f0300b3,2026-04-21T20:01:54Z,2026-09-14T15:34:19Z,direct,product_delay_supply_constraint,Headline or Finnhub summary explicitly mentions Nvidia/NVDA in the product_delay_supply_constraint context.,false,,event_14f4b9074be6864f,1,,true,exact_9892e9da95d9715b,1,NVDA,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,https://finnhub.io/api/news?id=45bcb4cf3fedf0e566f586ec905e3bf2c265a15af2ea21326cc43f708f0300b3,Nvidia|NVDA|bottleneck
