model,actual_label,actual_name,predicted_label,predicted_name,count
class_prior,-1,down,-1,down,0
class_prior,-1,down,0,neutral,5
class_prior,-1,down,1,up,0
class_prior,0,neutral,-1,down,0
class_prior,0,neutral,0,neutral,31
class_prior,0,neutral,1,up,0
class_prior,1,up,-1,down,0
class_prior,1,up,0,neutral,8
class_prior,1,up,1,up,0
market_only,-1,down,-1,down,4
market_only,-1,down,0,neutral,1
market_only,-1,down,1,up,0
market_only,0,neutral,-1,down,22
market_only,0,neutral,0,neutral,6
market_only,0,neutral,1,up,3
market_only,1,up,-1,down,4
market_only,1,up,0,neutral,3
market_only,1,up,1,up,1
tfidf_only,-1,down,-1,down,1
tfidf_only,-1,down,0,neutral,4
tfidf_only,-1,down,1,up,0
tfidf_only,0,neutral,-1,down,4
tfidf_only,0,neutral,0,neutral,26
tfidf_only,0,neutral,1,up,1
tfidf_only,1,up,-1,down,0
tfidf_only,1,up,0,neutral,8
tfidf_only,1,up,1,up,0
market_plus_tfidf,-1,down,-1,down,3
market_plus_tfidf,-1,down,0,neutral,2
market_plus_tfidf,-1,down,1,up,0
market_plus_tfidf,0,neutral,-1,down,22
market_plus_tfidf,0,neutral,0,neutral,6
market_plus_tfidf,0,neutral,1,up,3
market_plus_tfidf,1,up,-1,down,2
market_plus_tfidf,1,up,0,neutral,5
market_plus_tfidf,1,up,1,up,1
