model,c,fold,train_start,train_end,validation_start,validation_end,train_down,train_neutral,train_up,validation_down,validation_neutral,validation_up,n,accuracy,balanced_accuracy,macro_f1,log_loss,macro_ovr_auc
class_prior,,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.6470588235294118,0.3333333333333333,0.2619047619047619,0.9221994312669362,0.5
market_only,0.01,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.17647058823529413,0.25252525252525254,0.14017094017094017,1.0934651867920506,0.5468975468975469
market_only,0.1,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.1619259245407187,0.5367965367965368
market_only,1.0,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.4239283527379842,0.512987012987013
market_only,10.0,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.5484622234801548,0.518037518037518
tfidf_only,0.01,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.0986956390692424,0.49134199134199125
tfidf_only,0.1,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.29411764705882354,0.3131313131313131,0.22857142857142856,1.0989388664959963,0.5014430014430014
tfidf_only,1.0,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.29411764705882354,0.3131313131313131,0.22857142857142856,1.1000693224562852,0.4956709956709957
tfidf_only,10.0,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.47058823529411764,0.404040404040404,0.3333333333333333,1.119581376855896,0.5108225108225107
market_plus_tfidf,0.01,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.17647058823529413,0.25252525252525254,0.14017094017094017,1.0935891380548837,0.5468975468975469
market_plus_tfidf,0.1,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.1619488230969781,0.5317460317460317
market_plus_tfidf,1.0,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.4319531832362464,0.4891774891774891
market_plus_tfidf,10.0,1,2025-10-02,2025-11-18,2025-11-19,2025-12-12,8,18,8,3,11,3,17,0.23529411764705882,0.2828282828282828,0.18412698412698414,1.811024691723206,0.4971139971139971
class_prior,,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.7647058823529411,0.3333333333333333,0.2888888888888889,0.7926240514879938,0.5
market_only,0.01,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.29411764705882354,0.4102564102564103,0.21388888888888888,1.0742859332843644,0.547008547008547
